wallet_pubkey,swap_count,buy_count,sell_count,buy_volume_usd,sell_volume_usd,netflow_usd,consecutive_buys,buy_acceleration,sell_ratio,largest_trade_usd,emerging_smart_money_score,is_emerging_smart_money
ANS6xL2GT5XcFFzbPzy5sTzqWkx5kx9X6Qyka1wd2bQd,2,2,0,4216.0,0.0,4216.0,2,0.09,0.0,2305.0,39.5,False
6ruh2HEVyEXkXGFtPeDwDZMcmeAsYfZ4RnFEsurxJcQQ,2,2,0,4056.0,0.0,4056.0,2,0.09,0.0,2219.0,39.2,False
BkjJsKfr74R6Tws1XCpNtHrB66CEWwqPUzTGwmKt5z7X,2,2,0,3976.0,0.0,3976.0,2,0.09,0.0,2176.0,39.1,False
9Dq68nNWc6mUGcRzXqG8ijDRj2KDAdCn3PjrT5vbBexa,2,2,0,3736.0,0.0,3736.0,2,0.1,0.0,2047.0,38.7,False
8PFkHpwm3eZqK4tmxtUdwnU7gRX8nRNkdqoHfxLeYSGq,2,2,0,3576.0,0.0,3576.0,2,0.1,0.0,1961.0,38.5,False
3CRg8PNQmsYgccb7BuiewVDKDhu2VkrXQT17vyfkx8ZR,2,1,1,2907.0,279.0,2628.0,1,0.82,0.09,2907.0,38.5,False
9CXdYQHF6MVnyEqardmxCPKqTRxACbQ9D5QHiiEJsSmh,2,2,0,3336.0,0.0,3336.0,2,0.1,0.0,1832.0,38.2,False
82rsT6vYSHN4xg2fmUchqgewXazSoTFE5oHRvrR9Gxxu,2,2,0,2767.0,0.0,2767.0,2,0.17,0.0,1617.0,38.1,False
ejacbEm2xavBDpJjN3yAh2EnuVuxWY5uc9pKQC9LgUR,2,2,0,3553.0,0.0,3553.0,2,0.04,0.0,1850.0,37.8,False
XPAhMdUQLge7RPKzLjYrnSFhBwfVRbmoHJfAipKBptt,2,1,1,3036.0,390.0,2646.0,1,0.77,0.11,3036.0,37.7,False
E55DMYW6QAbaU9g7jQcEJVsKwZ6RZfnzLuwLfHeg573C,2,2,0,2776.0,0.0,2776.0,2,0.1,0.0,1531.0,37.3,False
8nkCXGGo3XSSsdPqo7y1cMCFN1JNXZ7rQr9jcmJNFyds,2,2,0,3160.0,0.0,3160.0,2,0.05,0.0,1660.0,37.3,False
AQ11mttX1E73fVzQAoTz44UbQhDKVstrk4NPDtygZb4d,2,2,0,2616.0,0.0,2616.0,2,0.1,0.0,1445.0,37.1,False
GMtXAV5AMUoekExj7ZUkaGyo5nK2bad2wkeVcvKTip1e,3,2,1,2632.0,583.0,2049.0,2,0.42,0.18,1519.0,37.0,False
5Q9Jck7C58GayNkPTgq6SQMZXSXQG79dR9WC43YuXj7T,2,1,1,3165.0,501.0,2664.0,1,0.73,0.14,3165.0,37.0,False
A3UbVXpvamfDecXKkSY768Tvu15Xa7tcSX3F3af12ehz,2,2,0,2376.0,0.0,2376.0,2,0.11,0.0,1316.0,36.8,False
976UUBNNVL1AAEvBketq4tE2RAcScpF4T28kAU9DYRjn,2,2,0,2296.0,0.0,2296.0,2,0.11,0.0,1273.0,36.7,False
DRBG5YvVXc1ktaLik34iKDKhevxWN8dV63wCvxg4VXtx,3,2,1,3148.0,805.0,2343.0,2,0.35,0.2,1777.0,36.6,False
8fVD4wP97hkc7eCuZifUgEzKAEWPa2bi5evwh8z8V67h,3,2,1,4696.0,1471.0,3225.0,2,0.24,0.24,2551.0,36.6,False
5PJHeVmxe1bvgKkZ5ufhytooZFf6UCTde6eRbcaovwg2,3,2,1,3664.0,1027.0,2637.0,2,0.3,0.22,2035.0,36.4,False
8AcmZzs9KFzpTBK23B9t6rHp8oTgvgmZpxfnfKLcv3hi,3,2,1,4180.0,1249.0,2931.0,2,0.27,0.23,2293.0,36.4,False
5rrUcSFVuuQDVTGCKbXc455C4uARSFeURpHtwvyfBVdn,2,2,0,2136.0,0.0,2136.0,2,0.11,0.0,1187.0,36.4,False
ASZD4WwAGFEKpLjVKjg6bsniDAyK9p7W3Q5RpbqTGGii,2,2,0,2056.0,0.0,2056.0,2,0.11,0.0,1144.0,36.3,False
Fpm4cKTAsJSAHShFUB6DrLcKxX9QGuzwYZtWMBRqqUW5,2,2,0,1816.0,0.0,1816.0,2,0.12,0.0,1015.0,36.0,False
862aV8RgNRV7c6rWnNgYtPidikHyJoYWFHQmwchhPMXv,2,2,0,1656.0,0.0,1656.0,2,0.12,0.0,929.0,35.8,False
311V4qJdF3StLxnsLy4N3LobCGJhsXWfWY5XoFRCoB8U,2,2,0,2176.0,0.0,2176.0,2,0.04,0.0,1130.0,35.7,False
eCvkJtf2cw7UwyCBnfWNxYEn2kmrTQPnyrq8XHtC2m1,2,2,0,2096.0,0.0,2096.0,2,0.04,0.0,1093.0,35.6,False
H6ZNEKwKJBq2RYsTXWSFBSQEMcUhTd8xCq8UzF8fVV6Y,2,2,0,1416.0,0.0,1416.0,2,0.13,0.0,800.0,35.5,False
EpFt9UQk55LA4gmaUn81uLKySdd6rdhTHKcLFNAPTCRN,2,2,0,1936.0,0.0,1936.0,2,0.05,0.0,1019.0,35.5,False
HtRNTumKgqXw2anJoBfiRoJCTe5DQmk54fK6PCKkKXwA,2,2,0,1336.0,0.0,1336.0,2,0.13,0.0,757.0,35.4,False
9D12qAxoeoMLfpewuupGM2wcVXCgGaQByVwoWMPViWcE,2,2,0,896.0,0.0,896.0,2,0.2,0.0,538.0,35.4,False
8BnE8QX3abhue95tL3J36fGJjpF98haYGDD2wU92SSub,2,2,0,1856.0,0.0,1856.0,2,0.06,0.0,982.0,35.4,False
DbKyVxVbhiUSqRzy4JMfXMkm9XYr5b1xtnh1mSDaTnSS,2,2,0,1176.0,0.0,1176.0,2,0.14,0.0,671.0,35.3,False
6AiBRVTfzTsmGyvTnoihY2NLW72C2PxmRtXNrK3vqj3j,2,2,0,976.0,0.0,976.0,2,0.18,0.0,575.0,35.3,False
Cg2DZyJ9Wj2v1LkfpnodXd3ETYyXqBoNRvPrtY9qAHVy,2,2,0,1616.0,0.0,1616.0,2,0.08,0.0,871.0,35.3,False
BbHS5mL6ZCDmYKCiPkVucihbhJVbpcDD3uDaV7KmArBS,2,2,0,1096.0,0.0,1096.0,2,0.15,0.0,628.0,35.2,False
FBPSS4K8DcXfQbTG9yMr8wVzuAPsNxq5HQGuUtoTeV4T,2,2,0,1136.0,0.0,1136.0,2,0.14,0.0,649.0,35.2,False
7KUUJPvDRMEqeXSzAQorXiy372k6VrgGaBv7Sg8BRRVX,2,2,0,1216.0,0.0,1216.0,2,0.13,0.0,686.0,35.2,False
BmbPYMLaTmP58azqcNzuaAnFjDZ6BRPtBpN8yb9vRbKo,2,2,0,1456.0,0.0,1456.0,2,0.09,0.0,797.0,35.2,False
Cnp5wyRDaUbM88oHQzEwQKAFd9v1kbNDY1AeEoHsSQT3,2,2,0,696.0,0.0,696.0,2,0.19,0.0,413.0,35.0,False
FBph7KghCgAFJ69S4BhZgCfswhb4MJbZYfoAkVmDaeSN,2,2,0,856.0,0.0,856.0,2,0.17,0.0,499.0,35.0,False
AnZMD6EN24Ahc1RuGxMBx1LuvELNswnnfzE6bjFTPBdv,3,2,1,3940.0,984.0,2956.0,1,0.55,0.2,2550.0,34.0,False
AVSCyBMYUARPcBw23vwtDiGf8Q5317P3uSeeXybo6X6,2,1,1,2396.0,370.0,2026.0,0,0.73,0.13,2396.0,29.7,False
EjwkkrMNiRN1b5Km27WVZkUMW8MVG75F7tfwqPTPyP7v,3,2,1,4102.0,2188.0,1914.0,1,0.24,0.35,2594.0,27.7,False
E3cEkC28cbeG8LWWnjgJkmoPAzi2zsSfo5vr9TeDfSTF,3,2,1,2182.0,1156.0,1026.0,1,0.4,0.35,1562.0,27.4,False
DJtaXEdekbSyPjbfPCYLnpeoVqg1NWQ8oAWvoc1iEYqj,3,2,1,2502.0,1328.0,1174.0,1,0.36,0.35,1734.0,27.3,False
DtLrMWwgAEqj5Uc43o7E83ZcMacdM6RY9ZdnWt5NJepx,3,2,1,3142.0,1672.0,1470.0,1,0.29,0.35,2078.0,27.3,False
HodEjMjZB8ARMLW7J3vTnoBCmFV9PErDike368GoXcBh,3,2,1,2368.0,812.0,1556.0,1,0.15,0.26,1218.0,26.4,False
5Y89bf4DUf9jkuANM49JBaT76GUKaeYiskyEEbVUMNu5,2,1,1,2919.0,2137.0,782.0,1,0.15,0.42,2919.0,24.9,False
6hTxJZYsa8VaGujMvQJjiKGFCKXTQHE7uWnVcR4ndrpb,2,1,1,2661.0,1915.0,746.0,1,0.16,0.42,2661.0,24.8,False
5QyBCNkE7ffMcUgZga2btB7ZiwYcmeCaZ3rgfyFPPhLC,2,1,1,2790.0,2026.0,764.0,1,0.16,0.42,2790.0,24.8,False
3CN2cYc9UHcvmjNwBMadfiUJddDbAu36qb3NQgepqwq6,2,1,1,2274.0,1582.0,692.0,1,0.18,0.41,2274.0,24.6,False
7Y6VeGK93xxagrdYBAR2cqNYdHbhohxJrZqEWTHHUQpy,2,1,1,2403.0,1693.0,710.0,1,0.17,0.41,2403.0,24.6,False
8Yp2SJDEmoF4JntQcwW9ajadH9MbGS1hebujwWiGBaXr,3,1,2,2250.0,6044.0,-3794.0,1,0.52,0.73,4200.0,24.5,False
FT3Utqt7t7NuzDixgLTs3Jj2awv11CJbZ1bKjAaNtxZ9,2,1,1,2649.0,4200.0,-1551.0,1,0.23,0.61,4200.0,23.3,False
6hz5zHtTTNReF1hr9XSvW3YhDS6H5KvQZUDe9byL2AG4,2,1,1,2520.0,2096.0,424.0,1,0.09,0.45,2520.0,23.1,False
5aT1pckUHr23teeocDMqgZgGkd79hGkMGbGofU4j8xhM,2,1,1,2391.0,1985.0,406.0,1,0.09,0.45,2391.0,22.9,False
HYWBcYbsKhVkW69QML9iJtEvu75KT9hfakk3Jq1XeL3m,3,1,2,1906.0,2416.0,-510.0,1,0.32,0.56,1906.0,22.8,False
DtuL2p21Qvpz5nWK7BaHg2eCGceZE6Xo3y6QF9wKhkaY,2,1,1,327.0,2359.0,-2032.0,1,0.76,0.88,2359.0,22.8,False
5U5iu5So7UymzNJYyXKcEduKcrgZHC3Ss28RZooDodQL,2,1,1,2133.0,1763.0,370.0,1,0.09,0.45,2133.0,22.7,False
G3zsUdjbhsN6pnD2EnGF7aAhwvM9We1sU3C3ESbJKwWC,2,1,1,2004.0,1652.0,352.0,1,0.1,0.45,2004.0,22.5,False
7Q8qpV9x3W13qErjoxcji5oSe4dGDm6dhHwfA1t9ScE6,2,1,1,1875.0,1541.0,334.0,1,0.1,0.45,1875.0,22.4,False
2zE7imfxGNUAAPwDacN3Rs6iDV9CgpFcQyHAg4N4saJZ,3,2,1,2748.0,1304.0,1444.0,0,0.37,0.32,1850.0,22.2,False
DVtUXFGiLTTLBTcUm6FSiA7FcebfdEKoQFcHUPgV4WKh,3,1,2,2422.0,3376.0,-954.0,1,0.25,0.58,2422.0,22.2,False
54eJQWeYsRFDHWBp2p6uK4vJkQWw7UGg1LpJZAdEg2rH,2,1,1,456.0,320.0,136.0,1,0.18,0.41,456.0,22.2,False
4BwH1CKNCvMneTVLyEQLgdXHxADCJiMpXzHTa6hFL5yg,2,1,1,1488.0,1208.0,280.0,1,0.1,0.45,1488.0,22.1,False
CEeb9RkZ7WpN7wyYDGdAAxrUWBwveyNSC2r1UzrNuohE,2,1,1,1359.0,1097.0,262.0,1,0.11,0.45,1359.0,22.0,False
CT3jBCt3Sq3j1JH1EqPbg2GBe5caP9ygXAAe6iDRPRu,2,1,1,585.0,431.0,154.0,1,0.15,0.42,585.0,21.9,False
EqUKeJuZAj8CtyWhWBUeUFSLs42NNw5JwSJ4csZ1oCZH,2,1,1,843.0,653.0,190.0,1,0.13,0.44,843.0,21.8,False
E1XaH39XarcaMHhfsdh9SEhUNfuCqbSucvAnz7sGMkN5,2,1,1,972.0,764.0,208.0,1,0.12,0.44,972.0,21.8,False
BkSrMYUo3WrLYMWV8A4vdujrCf6hskDp2mkTx5mn4dHS,2,1,1,1101.0,875.0,226.0,1,0.11,0.44,1101.0,21.8,False
AZogrUEnGsw7VkBUmEq3tjRNs2yd8Bkqtf4Wdgsozs5V,3,2,1,3536.0,2508.0,1028.0,0,0.24,0.41,2508.0,19.8,False
BnV9zWdUqjnFNLp4ZSTyD2R7gvArkGTroXHjEKaGpHCc,2,1,1,1089.0,1167.0,-78.0,1,0.03,0.52,1167.0,19.8,False
GNptDaLhd2QnEarFczsK33ZgLEh4U4qatSSxjad1V9eM,2,1,1,831.0,945.0,-114.0,1,0.06,0.53,945.0,19.6,False
4UjeGkxvZPSua6nMmm46PEXtfpMC16QRomFrQD6Sg7zL,3,2,1,3216.0,2336.0,880.0,0,0.26,0.42,2336.0,19.5,False
J8cFcYXSytWb9PyQyqFPxCGz5GdeCwrJEz35PKDsxKGG,2,1,1,573.0,723.0,-150.0,1,0.12,0.56,723.0,19.5,False
BqH86RwQa5e5nYxPsMPGFtZ93VJTSnEKM7nGnaTDpNRb,2,1,1,702.0,834.0,-132.0,1,0.09,0.54,834.0,19.5,False
FyffFfJxXid2QRQzL9P2HgXnu8smbw8acmcG7ZPv95xC,3,2,1,2576.0,1992.0,584.0,0,0.31,0.44,1992.0,19.1,False
HyiX3XMEpa39uQsdSPitdZbWQVDUVUeNT6Y4ceJ84Upy,3,2,1,2256.0,1820.0,436.0,0,0.34,0.45,1820.0,19.0,False
67tyrvZrrQahWgwukM1K5MCrozMqdLxArhgb5FGZ4yE4,3,2,1,1616.0,1476.0,140.0,0,0.43,0.48,1476.0,18.8,False
FLF2s8B3W7Hto2NbJuQ59qgmgz8Sg7qsBuGcUR9Yh6aE,2,1,1,316.0,2950.0,-2634.0,0,0.81,0.9,2950.0,17.5,False
3z8BnwdvHXsV7yYnEMqqi43wKrW6UwCTdj1BWPgtRnmi,2,1,1,464.0,3122.0,-2658.0,0,0.74,0.87,3122.0,17.5,False
AfDGnpKZs1sjaNycGEx7mkAa41KThBs34AbJcdZDRguy,2,1,1,2200.0,1746.0,454.0,0,0.12,0.44,2200.0,17.2,False
88Eu8hrAp6du7pvxVcDM3MZyYScS3hb1j5CUJBv2knmH,2,1,1,2100.0,2876.0,-776.0,0,0.16,0.58,2876.0,15.8,False
ED8oKwHH7yU72o5poZyE9ucpxZfgW7uD3DX4sqXErjF4,3,1,2,1242.0,2342.0,-1100.0,0,0.38,0.65,1648.0,15.6,False
5LKPEd8vTxaRpgJFTAaTjXi93ndznLXTM5ZkV7m5C7LG,2,1,1,1952.0,2704.0,-752.0,0,0.16,0.58,2704.0,15.6,False
6KSRpLsLNKLwN1FWvRacGJGx6PHo4ryARTRYVqBeTmL9,2,1,1,1656.0,2360.0,-704.0,0,0.18,0.59,2360.0,15.3,False
ECzaGRHweams2mCDptwBqRuB6o2CTD8FKd7pbXWsu7FY,2,1,1,2170.0,2606.0,-436.0,0,0.09,0.55,2606.0,15.3,False
J14je2kYxoiZZa5DUxsnBbzto83U9jKoCUqwXuQDdeD3,3,1,2,1758.0,3302.0,-1544.0,0,0.28,0.65,2164.0,15.2,False
42ESXYwzeYYLb5wFbtSg7f9u2voXMeDriMwRCnG8V2Dm,2,1,1,2022.0,2434.0,-412.0,0,0.09,0.55,2434.0,15.2,False
6MgqYRe9c2hEwXx7Kwic8EWtnE4GKTYGwU53mRo5EMvy,2,1,1,760.0,616.0,144.0,0,0.1,0.45,760.0,15.2,False
3LKxH2s684vpYb5mXxAicjDEvMqEsrcu5MS3vMLEG6T6,2,1,1,800.0,1574.0,-774.0,0,0.33,0.66,1574.0,14.9,False
5qMFxur9WFZjz2g2fztLn1ajATmU4ebgsf2sXRyfhezB,2,1,1,1726.0,2090.0,-364.0,0,0.1,0.55,2090.0,14.8,False
DPPACM5ZwcahHvdMM6pcvd2WHC35YqwTnkySXB1nLLa7,2,1,1,908.0,788.0,120.0,0,0.07,0.46,908.0,14.8,False
5P2rUDzmaEjRdGoa8keNbwb2fG8R44qS63DRLCQgyfut,2,1,1,1578.0,1918.0,-340.0,0,0.1,0.55,1918.0,14.7,False
9pDwdo9S3WYwjkfqbppMSM7m3wXnnP4s51rZmfWwUfws,2,1,1,1204.0,1132.0,72.0,0,0.03,0.48,1204.0,14.3,False
3UtZ9XEwnoNjC9bhTHpKdTqTgFPZmgL9rtbxvghbNdyj,2,1,1,1134.0,1402.0,-268.0,0,0.11,0.55,1402.0,14.2,False
6RA2vCZNhxi3ur4pBJQgQRe4ew21nJgjdTT1dxXoTAWQ,2,1,1,838.0,1058.0,-220.0,0,0.12,0.56,1058.0,13.8,False
FMqMf5eXyqg5N8ewLaon4C8YFH6aRoXLcrptysR3CWr4,2,1,1,690.0,886.0,-196.0,0,0.12,0.56,886.0,13.7,False
J5AHEZmf6ASgaS7k3QPUocujRsUpLtFKmCWZy9tkqDgd,2,1,1,394.0,542.0,-148.0,0,0.16,0.58,542.0,13.4,False
AnZmmdrasAWKaJxLqzG42QCiPnW3mjvVmgHEesDSqUh6,2,0,2,0.0,5296.0,-5296.0,0,0.15,1.0,3048.0,9.6,False
2a1GKVziZ7UtuxAGGAU3r2TMBr6hTDyzGqGPq62muWwV,2,0,2,0.0,4336.0,-4336.0,0,0.17,1.0,2532.0,9.2,False
XnfdFKEj4giVWkgKbae3eJztvqEsfpbnfZZ7aYM6Jdn,2,0,2,0.0,5096.0,-5096.0,0,0.09,1.0,2778.0,8.7,False
CBXHLZsogG3FHYYHzs77X6DByh9ro2wgASUi3rTDVoL1,2,0,2,0.0,4136.0,-4136.0,0,0.09,1.0,2262.0,8.2,False
8zAhenGVcfqE8CRrNcmWqvZvqoXwuvTBgVWKzrVZPtr3,2,0,2,0.0,2216.0,-2216.0,0,0.11,1.0,1230.0,7.3,False
53kZpbFsASfRxvHGkxkpPTuJtThoigZurJMD4Kdh3T3v,2,0,2,0.0,1056.0,-1056.0,0,0.16,1.0,612.0,7.2,False
3eCvpjBbxwZDkquiBWqJAg5xHjHiWTnec9JcgZkcRhd5,2,0,2,0.0,1256.0,-1256.0,0,0.14,1.0,714.0,7.1,False
FBYLRQme8gpJKXKumoRqnWZ6odwfsVDsiSsdL3aHkqk4,2,0,2,0.0,2016.0,-2016.0,0,0.05,1.0,1056.0,6.5,False
